Filename,Folder_Path,Ground_Truth_Folder,Predicted_Dept,Predicted_Desc,Confidence,Status
10067.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10067.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,98.47%,MISMATCH
10071.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10071.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,37.35%,LOW_CONFIDENCE
10341.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10341.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,95.43%,MISMATCH
10411.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10411.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,46.48%,LOW_CONFIDENCE
10628.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10628.jpg,Air_Pollution,Drainage Dept,A photo of a blocked drain or sewer,47.42%,LOW_CONFIDENCE
10688.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10688.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,28.47%,LOW_CONFIDENCE
10918.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10918.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,32.93%,LOW_CONFIDENCE
10942.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\10942.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,56.13%,LOW_CONFIDENCE
11103.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\11103.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,68.43%,MATCH
11168.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\11168.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,22.73%,LOW_CONFIDENCE
13432.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\13432.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,55.84%,LOW_CONFIDENCE
1411.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\1411.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,82.74%,MISMATCH
15607.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\15607.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,69.80%,MATCH
16250.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\16250.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,35.53%,LOW_CONFIDENCE
16372.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\16372.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,98.95%,MISMATCH
1865.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\1865.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,49.87%,LOW_CONFIDENCE
19860.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\19860.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,63.89%,MATCH
19971.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\19971.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,32.91%,LOW_CONFIDENCE
20948.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\20948.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,46.62%,LOW_CONFIDENCE
21387.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\21387.jpg,Air_Pollution,Electricity Dept,A photo of dangling electrical wires,43.83%,LOW_CONFIDENCE
2439.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\2439.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,76.70%,MATCH
3045.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\3045.jpg,Air_Pollution,Electricity Dept,A photo of a broken street light,44.45%,LOW_CONFIDENCE
3258.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\3258.jpg,Air_Pollution,Drainage Dept,A photo of stagnant water,40.45%,LOW_CONFIDENCE
3317.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\3317.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,61.85%,MATCH
3395.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\3395.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,87.98%,MATCH
3397.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\3397.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,42.46%,LOW_CONFIDENCE
5280.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\5280.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,46.55%,LOW_CONFIDENCE
6857.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6857.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,58.34%,LOW_CONFIDENCE
6862.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6862.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,81.36%,MATCH
6871.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6871.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,70.99%,MATCH
6872.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6872.jpg,Air_Pollution,Drainage Dept,A photo of a blocked drain or sewer,93.30%,MISMATCH
6882.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6882.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,44.47%,LOW_CONFIDENCE
6891.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6891.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,92.00%,MISMATCH
